CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
屏東縣,1960,1,120.35,22.30,NAN,
屏東縣,1960,2,120.35,22.30,NAN,
屏東縣,1960,3,120.35,22.30,NAN,
屏東縣,1960,4,120.35,22.30,NAN,
屏東縣,1960,5,120.35,22.30,NAN,
屏東縣,1960,6,120.35,22.30,NAN,
屏東縣,1960,7,120.35,22.30,NAN,
屏東縣,1960,8,120.35,22.30,NAN,
屏東縣,1960,9,120.35,22.30,NAN,
屏東縣,1960,10,120.35,22.30,NAN,
屏東縣,1960,11,120.35,22.30,NAN,
屏東縣,1960,12,120.35,22.30,NAN,
屏東縣,1961,1,120.35,22.30,NAN,
屏東縣,1961,2,120.35,22.30,NAN,
屏東縣,1961,3,120.35,22.30,NAN,
屏東縣,1961,4,120.35,22.30,NAN,
屏東縣,1961,5,120.35,22.30,NAN,
屏東縣,1961,6,120.35,22.30,NAN,
屏東縣,1961,7,120.35,22.30,NAN,
屏東縣,1961,8,120.35,22.30,NAN,
屏東縣,1961,9,120.35,22.30,NAN,
屏東縣,1961,10,120.35,22.30,NAN,
屏東縣,1961,11,120.35,22.30,NAN,
屏東縣,1961,12,120.35,22.30,NAN,
屏東縣,1962,1,120.35,22.30,NAN,
屏東縣,1962,2,120.35,22.30,NAN,
屏東縣,1962,3,120.35,22.30,NAN,
屏東縣,1962,4,120.35,22.30,NAN,
屏東縣,1962,5,120.35,22.30,NAN,
屏東縣,1962,6,120.35,22.30,NAN,
屏東縣,1962,7,120.35,22.30,NAN,
屏東縣,1962,8,120.35,22.30,NAN,
屏東縣,1962,9,120.35,22.30,NAN,
屏東縣,1962,10,120.35,22.30,NAN,
屏東縣,1962,11,120.35,22.30,NAN,
屏東縣,1962,12,120.35,22.30,NAN,
屏東縣,1963,1,120.35,22.30,NAN,
屏東縣,1963,2,120.35,22.30,NAN,
屏東縣,1963,3,120.35,22.30,NAN,
屏東縣,1963,4,120.35,22.30,NAN,
屏東縣,1963,5,120.35,22.30,NAN,
屏東縣,1963,6,120.35,22.30,NAN,
屏東縣,1963,7,120.35,22.30,NAN,
屏東縣,1963,8,120.35,22.30,NAN,
屏東縣,1963,9,120.35,22.30,NAN,
屏東縣,1963,10,120.35,22.30,NAN,
屏東縣,1963,11,120.35,22.30,NAN,
屏東縣,1963,12,120.35,22.30,NAN,
屏東縣,1964,1,120.35,22.30,NAN,
屏東縣,1964,2,120.35,22.30,NAN,
屏東縣,1964,3,120.35,22.30,NAN,
屏東縣,1964,4,120.35,22.30,NAN,
屏東縣,1964,5,120.35,22.30,NAN,
屏東縣,1964,6,120.35,22.30,NAN,
屏東縣,1964,7,120.35,22.30,NAN,
屏東縣,1964,8,120.35,22.30,NAN,
屏東縣,1964,9,120.35,22.30,NAN,
屏東縣,1964,10,120.35,22.30,NAN,
屏東縣,1964,11,120.35,22.30,NAN,
屏東縣,1964,12,120.35,22.30,NAN,
屏東縣,1965,1,120.35,22.30,NAN,
屏東縣,1965,2,120.35,22.30,NAN,
屏東縣,1965,3,120.35,22.30,NAN,
屏東縣,1965,4,120.35,22.30,NAN,
屏東縣,1965,5,120.35,22.30,NAN,
屏東縣,1965,6,120.35,22.30,NAN,
屏東縣,1965,7,120.35,22.30,NAN,
屏東縣,1965,8,120.35,22.30,NAN,
屏東縣,1965,9,120.35,22.30,NAN,
屏東縣,1965,10,120.35,22.30,NAN,
屏東縣,1965,11,120.35,22.30,NAN,
屏東縣,1965,12,120.35,22.30,NAN,
屏東縣,1966,1,120.35,22.30,NAN,
屏東縣,1966,2,120.35,22.30,NAN,
屏東縣,1966,3,120.35,22.30,NAN,
屏東縣,1966,4,120.35,22.30,NAN,
屏東縣,1966,5,120.35,22.30,NAN,
屏東縣,1966,6,120.35,22.30,NAN,
屏東縣,1966,7,120.35,22.30,NAN,
屏東縣,1966,8,120.35,22.30,NAN,
屏東縣,1966,9,120.35,22.30,NAN,
