CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
新竹縣,1969,4,120.90,24.70,0.56678,
新竹縣,1969,5,120.90,24.70,5.63095,
新竹縣,1969,6,120.90,24.70,13.2236,
新竹縣,1969,7,120.90,24.70,0.952965,
新竹縣,1969,8,120.90,24.70,9.82504,
新竹縣,1969,9,120.90,24.70,6.19606,
新竹縣,1969,10,120.90,24.70,4.46787,
新竹縣,1969,11,120.90,24.70,0.0429372,
新竹縣,1969,12,120.90,24.70,0.000245883,
新竹縣,1970,1,120.90,24.70,2.02699,
新竹縣,1970,2,120.90,24.70,0.688924,
新竹縣,1970,3,120.90,24.70,7.32548,
新竹縣,1970,4,120.90,24.70,0.87424,
新竹縣,1970,5,120.90,24.70,6.17298,
新竹縣,1970,6,120.90,24.70,0.782227,
新竹縣,1970,7,120.90,24.70,0.243326,
新竹縣,1970,8,120.90,24.70,6.71598,
新竹縣,1970,9,120.90,24.70,12.2816,
新竹縣,1970,10,120.90,24.70,0.0734303,
新竹縣,1970,11,120.90,24.70,0,
新竹縣,1970,12,120.90,24.70,1.24862,
新竹縣,1971,1,120.90,24.70,1.52671,
新竹縣,1971,2,120.90,24.70,0.647506,
新竹縣,1971,3,120.90,24.70,0.710759,
新竹縣,1971,4,120.90,24.70,0.740469,
新竹縣,1971,5,120.90,24.70,3.0177,
新竹縣,1971,6,120.90,24.70,3.86793,
新竹縣,1971,7,120.90,24.70,0.220507,
新竹縣,1971,8,120.90,24.70,1.13076,
新竹縣,1971,9,120.90,24.70,9.80656,
新竹縣,1971,10,120.90,24.70,0.551555,
新竹縣,1971,11,120.90,24.70,0.576013,
新竹縣,1971,12,120.90,24.70,0.899406,
新竹縣,1972,1,120.90,24.70,2.73304,
新竹縣,1972,2,120.90,24.70,1.58429,
新竹縣,1972,3,120.90,24.70,0.376018,
新竹縣,1972,4,120.90,24.70,1.09746,
新竹縣,1972,5,120.90,24.70,6.14862,
新竹縣,1972,6,120.90,24.70,5.58485,
新竹縣,1972,7,120.90,24.70,8.13174,
新竹縣,1972,8,120.90,24.70,11.1627,
新竹縣,1972,9,120.90,24.70,0.0168726,
新竹縣,1972,10,120.90,24.70,0.0727475,
新竹縣,1972,11,120.90,24.70,0.669011,
新竹縣,1972,12,120.90,24.70,2.14038,
新竹縣,1973,1,120.90,24.70,1.73292,
新竹縣,1973,2,120.90,24.70,0.969542,
新竹縣,1973,3,120.90,24.70,0.88333,
新竹縣,1973,4,120.90,24.70,4.16333,
新竹縣,1973,5,120.90,24.70,4.5719,
新竹縣,1973,6,120.90,24.70,6.00113,
新竹縣,1973,7,120.90,24.70,1.27743,
新竹縣,1973,8,120.90,24.70,1.69918,
新竹縣,1973,9,120.90,24.70,0.34506,
新竹縣,1973,10,120.90,24.70,0.11633,
新竹縣,1973,11,120.90,24.70,0.518355,
新竹縣,1973,12,120.90,24.70,0,
新竹縣,1974,1,120.90,24.70,0.027199,
新竹縣,1974,2,120.90,24.70,2.06504,
新竹縣,1974,3,120.90,24.70,1.52304,
新竹縣,1974,4,120.90,24.70,5.61356,
新竹縣,1974,5,120.90,24.70,6.10292,
新竹縣,1974,6,120.90,24.70,16.871,
新竹縣,1974,7,120.90,24.70,2.58135,
新竹縣,1974,8,120.90,24.70,3.02802,
新竹縣,1974,9,120.90,24.70,1.48457,
新竹縣,1974,10,120.90,24.70,0.521702,
新竹縣,1974,11,120.90,24.70,0.0920315,
新竹縣,1974,12,120.90,24.70,1.40156,
新竹縣,1975,1,120.90,24.70,2.17333,
新竹縣,1975,2,120.90,24.70,2.10374,
新竹縣,1975,3,120.90,24.70,4.61212,
新竹縣,1975,4,120.90,24.70,4.95633,
新竹縣,1975,5,120.90,24.70,8.99987,
新竹縣,1975,6,120.90,24.70,9.33164,
新竹縣,1975,7,120.90,24.70,0.330429,
新竹縣,1975,8,120.90,24.70,9.70934,
新竹縣,1975,9,120.90,24.70,3.6359,
新竹縣,1975,10,120.90,24.70,1.6527,
新竹縣,1975,11,120.90,24.70,0.42915,
新竹縣,1975,12,120.90,24.70,2.80864,
新竹縣,1976,1,120.90,24.70,0.868168,
新竹縣,1976,2,120.90,24.70,1.40485,
新竹縣,1976,3,120.90,24.70,3.08485,
新竹縣,1976,4,120.90,24.70,3.44694,
新竹縣,1976,5,120.90,24.70,8.41107,
新竹縣,1976,6,120.90,24.70,5.28474,
新竹縣,1976,7,120.90,24.70,13.4967,
新竹縣,1976,8,120.90,24.70,5.43816,
新竹縣,1976,9,120.90,24.70,1.64817,
新竹縣,1976,10,120.90,24.70,0.755042,
新竹縣,1976,11,120.90,24.70,0.107211,
新竹縣,1976,12,120.90,24.70,0.127285,
新竹縣,1977,1,120.90,24.70,3.35019,
新竹縣,1977,2,120.90,24.70,1.6583,
新竹縣,1977,3,120.90,24.70,1.04171,
新竹縣,1977,4,120.90,24.70,1.62389,
新竹縣,1977,5,120.90,24.70,2.88304,
新竹縣,1977,6,120.90,24.70,14.2827,
新竹縣,1977,7,120.90,24.70,9.8246,
新竹縣,1977,8,120.90,24.70,6.63617,
新竹縣,1977,9,120.90,24.70,1.01382,
新竹縣,1977,10,120.90,24.70,0,
新竹縣,1977,11,120.90,24.70,0.775908,
新竹縣,1977,12,120.90,24.70,3.10907,
新竹縣,1978,1,120.90,24.70,1.84262,
新竹縣,1978,2,120.90,24.70,1.07877,
新竹縣,1978,3,120.90,24.70,13.8024,
新竹縣,1978,4,120.90,24.70,4.77269,
新竹縣,1978,5,120.90,24.70,7.38199,
新竹縣,1978,6,120.90,24.70,5.91594,
新竹縣,1978,7,120.90,24.70,0.558892,
新竹縣,1978,8,120.90,24.70,3.53745,
新竹縣,1978,9,120.90,24.70,2.46708,
新竹縣,1978,10,120.90,24.70,2.72946,
新竹縣,1978,11,120.90,24.70,0,
